date_time	Cod_estacao	latitude	longitude	Altitude	temp_max	temp_min	prec_acum
2024-08-28	82598.0	-6.0	-35.0	2.0	25.86792	24.193634	7.5863647
2024-08-28	86678.0	-13.0	-38.5	2.0	24.448395	23.937775	12.9935
2024-08-28	81715	-2.5	-44.0	2.0	29.251709	26.591095	4.073105
2024-08-28	81730	-3.0	-60.0	2.0	33.78882	26.4534	3.196991
2024-08-28	81827	-5.0	-43.0	2.0	37.17163	28.216095	0.13774109
2024-08-28	82280	-2.5	-44.5	2.0	29.578857	26.22293	2.1884155
2024-08-28	82281	-2.5	-44.0	2.0	29.251709	26.591095	4.073105
2024-08-28	82331	-3.0	-60.0	2.0	33.78882	26.4534	3.196991
2024-08-28	82332	-3.0	-60.0	2.0	33.78882	26.4534	3.196991
2024-08-28	82578	-5.0	-43.0	2.0	37.17163	28.216095	0.13774109
2024-08-28	82579	-5.0	-43.0	2.0	37.17163	28.216095	0.13774109
2024-08-28	83781	-23.5	-46.5	2.0	20.840576	7.7795715	22.484665
2024-08-28	83967	-30.0	-51.0	2.0	19.17456	9.546173	0.6654968
2024-08-28	86988	-30.0	-51.0	2.0	19.17456	9.546173	0.6654968
2024-08-28	SBEG	-3.0	-60.0	2.0	33.78882	26.4534	3.196991
2024-08-28	SBMN	-3.0	-60.0	2.0	33.78882	26.4534	3.196991
2024-08-28	SBMT	-23.5	-46.5	2.0	20.840576	7.7795715	22.484665
2024-08-28	SBPA	-30.0	-51.0	2.0	19.17456	9.546173	0.6654968
2024-08-28	SBRF	-8.0	-35.0	2.0	26.216553	20.716095	16.164612
2024-08-28	SBSL	-2.5	-44.0	2.0	29.251709	26.591095	4.073105
2024-08-28	SBSP	-23.5	-46.5	2.0	20.840576	7.7795715	22.484665
2024-08-28	SBTE	-5.0	-43.0	2.0	37.17163	28.216095	0.13774109
2024-08-29	82598.0	-6.0	-35.0	2.0	26.098572	23.642517	26.0587
2024-08-29	86678.0	-13.0	-38.5	2.0	23.535095	22.809204	56.84926
2024-08-29	81715	-2.5	-44.0	2.0	30.111267	26.718689	6.277237
2024-08-29	81730	-3.0	-60.0	2.0	34.496033	24.975525	6.671356
2024-08-29	81827	-5.0	-43.0	2.0	36.689392	28.781189	0.18365479
2024-08-29	82280	-2.5	-44.5	2.0	31.080017	26.606384	4.9673157
