date_time	Cod_estacao	latitude	longitude	Altitude	temp_max	temp_min	prec_acum
2024-07-31	82598.0	-6.0	-35.0	2.0	26.615509	25.36029	45.317535
2024-07-31	86678.0	-13.0	-38.5	2.0	25.744568	24.597595	22.310852
2024-07-31	81715	-2.5	-44.0	2.0	29.683044	26.898376	4.1605225
2024-07-31	81730	-3.0	-60.0	2.0	35.109802	26.487244	0.8701935
2024-07-31	81827	-5.0	-43.0	2.0	36.518982	26.196228	0.15097046
2024-07-31	82280	-2.5	-44.5	2.0	29.650818	26.503845	8.108139
2024-07-31	82281	-2.5	-44.0	2.0	29.683044	26.898376	4.1605225
2024-07-31	82331	-3.0	-60.0	2.0	35.109802	26.487244	0.8701935
2024-07-31	82332	-3.0	-60.0	2.0	35.109802	26.487244	0.8701935
2024-07-31	82578	-5.0	-43.0	2.0	36.518982	26.196228	0.15097046
2024-07-31	82579	-5.0	-43.0	2.0	36.518982	26.196228	0.15097046
2024-07-31	83781	-23.5	-46.5	2.0	23.560974	14.223572	3.4715576
2024-07-31	83967	-30.0	-51.0	2.0	21.640076	10.645447	52.022186
2024-07-31	86988	-30.0	-51.0	2.0	21.640076	10.645447	52.022186
2024-07-31	SBEG	-3.0	-60.0	2.0	35.109802	26.487244	0.8701935
2024-07-31	SBMN	-3.0	-60.0	2.0	35.109802	26.487244	0.8701935
2024-07-31	SBMT	-23.5	-46.5	2.0	23.560974	14.223572	3.4715576
2024-07-31	SBPA	-30.0	-51.0	2.0	21.640076	10.645447	52.022186
2024-07-31	SBRF	-8.0	-35.0	2.0	26.774689	22.07611	40.332596
2024-07-31	SBSL	-2.5	-44.0	2.0	29.683044	26.898376	4.1605225
2024-07-31	SBSP	-23.5	-46.5	2.0	23.560974	14.223572	3.4715576
2024-07-31	SBTE	-5.0	-43.0	2.0	36.518982	26.196228	0.15097046
2024-08-01	82598.0	-6.0	-35.0	2.0	26.421051	25.129425	63.255737
2024-08-01	86678.0	-13.0	-38.5	2.0	25.680145	23.770172	34.99774
2024-08-01	81715	-2.5	-44.0	2.0	31.082672	26.808136	6.334381
2024-08-01	81730	-3.0	-60.0	2.0	35.79068	26.505402	1.205658
2024-08-01	81827	-5.0	-43.0	2.0	36.282867	26.02591	0.2012024
2024-08-01	82280	-2.5	-44.5	2.0	31.683258	26.375519	11.718079
2024-08-01	82281	-2.5	-44.0	2.0	31.082672	26.808136	6.334381
2024-08-01	82331	-3.0	-60.0	2.0	35.79068	26.505402	1.205658
2024-08-01	82332	-3.0	-60.0	2.0	35.79068	26.505402	1.205658
2024-08-01	82578	-5.0	-43.0	2.0	36.282867	26.02591	0.2012024
2024-08-01	82579	-5.0	-43.0	2.0	36.282867	26.02591	0.2012024
2024-08-01	83781	-23.5	-46.5	2.0	26.119781	14.194855	4.864975
2024-08-01	83967	-30.0	-51.0	2.0	24.880524	13.689972	69.37744
2024-08-01	86988	-30.0	-51.0	2.0	24.880524	13.689972	69.37744
2024-08-01	SBEG	-3.0	-60.0	2.0	35.79068	26.505402	1.205658
2024-08-01	SBMN	-3.0	-60.0	2.0	35.79068	26.505402	1.205658
2024-08-01	SBMT	-23.5	-46.5	2.0	26.119781	14.194855	4.864975
2024-08-01	SBPA	-30.0	-51.0	2.0	24.880524	13.689972	69.37744
2024-08-01	SBRF	-8.0	-35.0	2.0	25.10611	22.246613	60.275955
2024-08-01	SBSL	-2.5	-44.0	2.0	31.082672	26.808136	6.334381
2024-08-01	SBSP	-23.5	-46.5	2.0	26.119781	14.194855	4.864975
2024-08-01	SBTE	-5.0	-43.0	2.0	36.282867	26.02591	0.2012024
2024-08-02	82598.0	-6.0	-35.0	2.0	25.769318	23.893738	68.075714
2024-08-02	86678.0	-13.0	-38.5	2.0	25.583801	23.760529	44.617645
2024-08-02	81715	-2.5	-44.0	2.0	31.032562	26.580261	6.7106323
2024-08-02	81730	-3.0	-60.0	2.0	34.4935	26.135925	1.3301086
2024-08-02	81827	-5.0	-43.0	2.0	36.012054	26.262878	0.2239685
2024-08-02	82280	-2.5	-44.5	2.0	32.048187	26.113464	12.680603
2024-08-02	82281	-2.5	-44.0	2.0	31.032562	26.580261	6.7106323
2024-08-02	82331	-3.0	-60.0	2.0	34.4935	26.135925	1.3301086
2024-08-02	82332	-3.0	-60.0	2.0	34.4935	26.135925	1.3301086
2024-08-02	82578	-5.0	-43.0	2.0	36.012054	26.262878	0.2239685
2024-08-02	82579	-5.0	-43.0	2.0	36.012054	26.262878	0.2239685
2024-08-02	83781	-23.5	-46.5	2.0	26.942719	14.039246	4.8953247
2024-08-02	83967	-30.0	-51.0	2.0	27.494476	16.091003	69.37225
2024-08-02	86988	-30.0	-51.0	2.0	27.494476	16.091003	69.37225
2024-08-02	SBEG	-3.0	-60.0	2.0	34.4935	26.135925	1.3301086
2024-08-02	SBMN	-3.0	-60.0	2.0	34.4935	26.135925	1.3301086
2024-08-02	SBMT	-23.5	-46.5	2.0	26.942719	14.039246	4.8953247
2024-08-02	SBPA	-30.0	-51.0	2.0	27.494476	16.091003	69.37225
2024-08-02	SBRF	-8.0	-35.0	2.0	26.418304	20.90741	72.48593
2024-08-02	SBSL	-2.5	-44.0	2.0	31.032562	26.580261	6.7106323
2024-08-02	SBSP	-23.5	-46.5	2.0	26.942719	14.039246	4.8953247
2024-08-02	SBTE	-5.0	-43.0	2.0	36.012054	26.262878	0.2239685
2024-08-03	82598.0	-6.0	-35.0	2.0	26.647766	24.018158	79.289
2024-08-03	86678.0	-13.0	-38.5	2.0	24.719269	22.743744	56.862946
2024-08-03	81715	-2.5	-44.0	2.0	31.819641	26.544525	7.166626
2024-08-03	81730	-3.0	-60.0	2.0	34.349915	26.392181	1.7850647
2024-08-03	81827	-5.0	-43.0	2.0	35.048157	25.28183	0.22753906
2024-08-03	82280	-2.5	-44.5	2.0	32.392883	26.231049	13.9328
